annyeong	안녕
ring	링
mak	막
man	만
mat	맏
mal	말
mam	맘
map	맙
mang	망
maek	맥
maen	맨
maet	맫
mael	맬
maem	맴
maep	맵
maeng	맹
myak	먁
myan	먄
myat	먇
myal	먈
myam	먐
myap	먑
myang	먕
myaek	먝
myaen	먠
myaet	먣
myael	먤
myaem	먬
myaep	먭
myaeng	먱
meok	먹
meon	먼
meot	먿
meol	멀
meom	멈
meop	멉
meong	멍
mek	멕
men	멘
met	멛
mel	멜
mem	멤
mep	멥
meng	멩
myeok	멱
myeon	면
myeot	멷
myeol	멸
myeom	몀
myeop	몁
myeong	명
myek	몍
myen	몐
myet	몓
myel	몔
myem	몜
myep	몝
myeng	몡
mok	목
mon	몬
mot	몯
mol	몰
mom	몸
mop	몹
mong	몽
mwak	뫅
mwan	뫈
mwat	뫋
mwal	뫌
mwam	뫔
mwap	뫕
mwang	뫙
mwaek	뫡
mwaen	뫤
mwaet	뫧
mwael	뫨
mwaem	뫰
mwaep	뫱
mwaeng	뫵
moek	뫽
moen	묀
moet	묃
moel	묄
moem	묌
moep	묍
moeng	묑
myok	묙
myon	묜
myot	묟
myol	묠
myom	묨
myop	묩
myong	묭
muk	묵
mun	문
mut	묻
mul	물
mum	뭄
mup	뭅
mung	뭉
mwok	뭑
mwon	뭔
mwot	뭗
mwol	뭘
mwom	뭠
mwop	뭡
mwong	뭥
mwek	뭭
mwen	뭰
mwet	뭳
mwel	뭴
mwem	뭼
mwep	뭽
mweng	뮁
mwik	뮉
mwin	뮌
mwit	뮏
mwil	뮐
mwim	뮘
mwip	뮙
mwing	뮝
myuk	뮥
myun	뮨
myut	뮫
myul	뮬
myum	뮴
myup	뮵
myung	뮹
meuk	믁
meun	믄
meut	믇
meul	믈
meum	믐
meup	믑
meung	믕
muik	믝
muin	믠
muit	믣
muil	믤
muim	믬
muip	믭
muing	믱
mik	믹
min	민
mit	믿
mil	밀
mim	밈
mip	밉
ming	밍
bak	박
ban	반
bat	받
bal	발
bam	밤
bap	밥
bang	방
baek	백
baen	밴
baet	밷
bael	밸
baem	뱀
baep	뱁
baeng	뱅
byak	뱍
byan	뱐
byat	뱓
byal	뱔
byam	뱜
byap	뱝
byang	뱡
byaek	뱩
byaen	뱬
byaet	뱯
byael	뱰
byaem	뱸
byaep	뱹
byaeng	뱽
beok	벅
beon	번
beot	벋
beol	벌
beom	범
beop	법
beong	벙
bek	벡
ben	벤
bet	벧
bel	벨
bem	벰
bep	벱
beng	벵
byeok	벽
byeon	변
byeot	볃
byeol	별
byeom	볌
byeop	볍
byeong	병
byek	볙
byen	볜
byet	볟
byel	볠
byem	볨
byep	볩
byeng	볭
bok	복
bon	본
bot	볻
bol	볼
bom	봄
bop	봅
bong	봉
bwak	봑
bwan	봔
bwat	봗
bwal	봘
bwam	봠
bwap	봡
bwang	봥
bwaek	봭
bwaen	봰
bwaet	봳
bwael	봴
bwaem	봼
bwaep	봽
bwaeng	뵁
boek	뵉
boen	뵌
boet	뵏
boel	뵐
boem	뵘
boep	뵙
boeng	뵝
byok	뵥
byon	뵨
byot	뵫
byol	뵬
byom	뵴
byop	뵵
byong	뵹
buk	북
bun	분
but	붇
bul	불
bum	붐
bup	붑
bung	붕
bwok	붝
bwon	붠
bwot	붣
bwol	붤
bwom	붬
bwop	붭
bwong	붱
bwek	붹
bwen	붼
bwet	붿
bwel	뷀
bwem	뷈
bwep	뷉
bweng	뷍
bwik	뷕
bwin	뷘
bwit	뷛
bwil	뷜
bwim	뷤
bwip	뷥
bwing	뷩
byuk	뷱
byun	뷴
byut	뷷
byul	뷸
byum	븀
byup	븁
byung	븅
beuk	븍
beun	븐
beut	븓
beul	블
beum	븜
beup	븝
beung	븡
buik	븩
buin	븬
buit	븯
buil	븰
buim	븸
buip	븹
buing	븽
bik	빅
bin	빈
bit	빋
bil	빌
bim	빔
bip	빕
bing	빙
ppak	빡
ppan	빤
ppat	빧
ppal	빨
ppam	빰
ppap	빱
ppang	빵
ppaek	빽
ppaen	뺀
ppaet	뺃
ppael	뺄
ppaem	뺌
ppaep	뺍
ppaeng	뺑
ppyak	뺙
ppyan	뺜
ppyat	뺟
ppyal	뺠
ppyam	뺨
ppyap	뺩
ppyang	뺭
ppyaek	뺵
ppyaen	뺸
ppyaet	뺻
ppyael	뺼
ppyaem	뻄
ppyaep	뻅
ppyaeng	뻉
ppeok	뻑
ppeon	뻔
ppeot	뻗
ppeol	뻘
ppeom	뻠
ppeop	뻡
ppeong	뻥
ppek	뻭
ppen	뻰
ppet	뻳
ppel	뻴
ppem	뻼
ppep	뻽
ppeng	뼁
ppyeok	뼉
ppyeon	뼌
ppyeot	뼏
ppyeol	뼐
ppyeom	뼘
ppyeop	뼙
ppyeong	뼝
ppyek	뼥
ppyen	뼨
ppyet	뼫
ppyel	뼬
ppyem	뼴
ppyep	뼵
ppyeng	뼹
ppok	뽁
ppon	뽄
ppot	뽇
ppol	뽈
ppom	뽐
ppop	뽑
ppong	뽕
ppwak	뽝
ppwan	뽠
ppwat	뽣
ppwal	뽤
ppwam	뽬
ppwap	뽭
ppwang	뽱
ppwaek	뽹
ppwaen	뽼
ppwaet	뽿
ppwael	뾀
ppwaem	뾈
ppwaep	뾉
ppwaeng	뾍
ppoek	뾕
ppoen	뾘
ppoet	뾛
ppoel	뾜
ppoem	뾤
ppoep	뾥
ppoeng	뾩
ppyok	뾱
ppyon	뾴
ppyot	뾷
ppyol	뾸
ppyom	뿀
ppyop	뿁
ppyong	뿅
ppuk	뿍
ppun	뿐
pput	뿓
ppul	뿔
ppum	뿜
ppup	뿝
ppung	뿡
ppwok	뿩
ppwon	뿬
ppwot	뿯
ppwol	뿰
ppwom	뿸
ppwop	뿹
ppwong	뿽
ppwek	쀅
ppwen	쀈
ppwet	쀋
ppwel	쀌
ppwem	쀔
ppwep	쀕
ppweng	쀙
ppwik	쀡
ppwin	쀤
ppwit	쀧
ppwil	쀨
ppwim	쀰
ppwip	쀱
ppwing	쀵
ppyuk	쀽
ppyun	쁀
ppyut	쁃
ppyul	쁄
ppyum	쁌
ppyup	쁍
ppyung	쁑
ppeuk	쁙
ppeun	쁜
ppeut	쁟
ppeul	쁠
ppeum	쁨
ppeup	쁩
ppeung	쁭
ppuik	쁵
ppuin	쁸
ppuit	쁻
ppuil	쁼
ppuim	삄
ppuip	삅
ppuing	삉
ppik	삑
ppin	삔
ppit	삗
ppil	삘
ppim	삠
ppip	삡
pping	삥
sak	삭
san	산
sat	삳
sal	살
sam	삼
sap	삽
sang	상
saek	색
saen	샌
saet	샏
sael	샐
saem	샘
saep	샙
saeng	생
syak	샥
syan	샨
syat	샫
syal	샬
syam	샴
syap	샵
syang	샹
syaek	섁
syaen	섄
syaet	섇
syael	섈
syaem	섐
syaep	섑
syaeng	섕
seok	석
seon	선
seot	섣
seol	설
seom	섬
seop	섭
seong	성
sek	섹
sen	센
set	섿
